,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
4501,22702,25502,25503,201414945#1,4.0,0.0,43.43
4502,22706,25504,25505,201414945#2,5.0,0.0,50.11
4503,22710,25506,25507,201444272#0,2.8333333333333335,0.3333333333333333,27.21
4504,22714,25508,25509,201444272#1,4.454545454545454,0.47272727272727266,49.89
4505,22718,25510,25511,201444272#2,5.5,0.6363636363636366,58.9
4506,22722,25512,25513,201444272#3,5.2727272727272725,0.21818181818181812,67.44
4507,22729,25520,25521,201775638#1,3.5,0.5,4.71
4508,22741,25538,25539,201775644#1,22.0,0.0,90.22
4509,22745,25542,25543,201777413,6.0,0.0,40.73
4510,22746,25544,25545,201777415#0,3.0,0.0,19.21
4511,22750,25546,25547,201777415#1,4.0,0.0,31.73
4512,22754,25548,25549,201777415#2,3.0,0.0,13.39
4513,22758,25550,25551,201777415#3,2.0,0.0,3.9
4514,22762,25552,25553,201789794#1,3.9130434782608696,1.6284584980237156,22.2
4515,22766,25554,25555,201789794#2,3.125,0.46195652173913043,26.68
4516,22770,25556,25557,201789794#3,3.75,0.1956521739130435,39.57
4517,22774,25558,25559,201789795#0,11.0,72.0,21.84
4518,22778,25560,25561,201789796,5.0,0.0,43.16
4519,22779,25562,25563,201789797#0,12.0,0.0,74.06
4520,22783,25564,25565,201789797#1,10.333333333333334,0.33333333333333304,62.01
4521,22787,25566,25567,201789798#0,1.6,0.2571428571428572,16.97
4522,22791,25568,25569,201789798#1,2.7333333333333334,0.35238095238095235,20.75
4523,22795,25570,25571,201789799#0,2.7333333333333334,0.3523809523809523,17.11
4524,22799,25572,25573,201789799#1,4.6,0.25714285714285723,54.64
4525,22803,25574,25575,201789799#2,4.4,0.2571428571428572,43.13
4526,22807,25576,25577,201828014#0,1.0,0.0,7.59
4527,22811,25578,25579,201828014#1,1.5,0.2857142857142857,3.92
4528,22815,25580,25581,201828014#2,4.75,0.5,56.78
4529,22819,25582,25583,201828014#3,8.25,0.2142857142857145,88.86
4530,22823,25584,25585,201828014#4,5.0,0.2857142857142857,46.94
4531,22827,25586,25587,201880159#0,8.11111111111111,0.1111111111111111,53.08
4532,22831,25588,25589,201880159#1,6.0,0.0,65.55
4533,22833,25590,25591,201880159#2,2.0,0.0,9.06
4534,22835,25592,25593,201880159#3,5.0,0.0,54.28
4535,22837,25594,25595,201894096#0,3.0,1.2000000000000002,19.67
4536,22841,25596,25597,201894096#1,3.857142857142857,0.8095238095238096,29.04
